,date,favorite_count,keyword,location,text,user,object_of_sentiment,salience,magnitude,sentiment_score,person
72,Sun Jul 21 12:34:33 +0000 2019,0,tsipras,Athens,"RT @amna_newseng: #Tsipras: The first parliament without memoranda after ten years
https://t.co/2DX0KgVELI
@tsipras_eu https://t.co/3CoW7sB",SDracopoulou,,,,,
73,Sat Jul 20 21:00:18 +0000 2019,0,tsipras,Athens,@CasMudde @GreekAnalyst She was only Tsipras biggest ally.,vassalos,Tsipras,0.119879916,0.200000003,0.200000003,Tsipras
74,Sat Jul 20 18:45:11 +0000 2019,8,tsipras,Athens,"#Tsipras: The first parliament without memoranda after ten years
https://t.co/2DX0KgVELI
@tsipras_eu https://t.co/3CoW7sBgYc",amna_newseng,,,,,
75,Fri Jul 19 15:27:06 +0000 2019,2,tsipras,Athens,"@Tsipras_int2 Earthquake, earthquake erotic",Panos334,,,,,
76,Fri Jul 19 15:18:55 +0000 2019,1,tsipras,Athens,@Tsipras_int2 The three bads of your degree...,NickMarkas,,,,,
77,Fri Jul 19 15:03:08 +0000 2019,0,tsipras,Athens,@Tsipras_int2 Doesn't have quite the same ring to it in English! ,NikeMorgan,,,,,
78,Fri Jul 19 15:02:41 +0000 2019,1,tsipras,Athens,@ioulia22942833 @Tsipras_int2 Mine did! ,NikeMorgan,,,,,
79,Thu Jul 18 16:07:04 +0000 2019,0,tsipras,Athens,"@InchJeremy As in the case of Tsipras, in this case, too, a kolotoumba is actually beneficial for Greece. It may da https://t.co/OT35Uka2L6",DimoYagcioglu,Tsipras,0.072804034,0,0,Tsipras
80,Thu Jul 18 07:50:00 +0000 2019,0,tsipras,Athens,Tsipras aiming to guide SYRIZA towards new territory in opposition https://t.co/3sHEBMndfw #Greece #politics #greekelections,MacroPolis_gr,Tsipras,0.326323926,0.300000012,-0.300000012,Tsipras
81,Thu Jul 18 07:10:00 +0000 2019,0,tsipras,Athens,Tsipras aiming to guide SYRIZA towards new territory in opposition https://t.co/3sHEBM5CnY #Greece #politics #greekelections,MacroPolis_gr,Tsipras,0.326323926,0.300000012,-0.300000012,Tsipras
82,Wed Jul 17 11:54:36 +0000 2019,0,tsipras,Athens,"RT @amna_newseng: #SYRIZA leader @tsipras_eu meets #ESM chief Regling - #Greece @ESM_Press 
https://t.co/DZUipE9zEE https://t.co/UXkUcrdYbH",GreeceOutsideIn,,,,,
83,Wed Jul 17 11:54:30 +0000 2019,2,tsipras,Athens,"#SYRIZA leader @tsipras_eu meets #ESM chief Regling - #Greece @ESM_Press 
https://t.co/DZUipE9zEE https://t.co/UXkUcrdYbH",amna_newseng,,,,,
84,Wed Jul 17 07:55:12 +0000 2019,0,tsipras,Athens,Tsipras aiming to guide SYRIZA towards new territory in opposition https://t.co/evJjJUHWiY #Greece #politics,MacroPolis_gr,Tsipras,0.377120703,0.300000012,-0.300000012,Tsipras
85,Wed Jul 17 06:40:09 +0000 2019,0,tsipras,Athens,RT @daphnenews: Mitsotakis is backtracking on Tsipras' plans to loosen church-state ties. Remains to be seen if he wants to keep clerics as,ChalatsisGeo,Tsipras,0.096577972,0,0,Tsipras
86,Tue Jul 16 20:18:59 +0000 2019,0,tsipras,Athens,"In #Greece, #ND won elections by blaming Tsipras on :
1. Prespes/ N Macedonia agreement.
2. 102 #Mati area deaths https://t.co/rp1JkWLFxS",faidr,Tsipras,0.100607261,0.899999976,-0.899999976,Tsipras
